"tokens_lem","class"
"show sign girl like scare ask close thing can send sign know without obvious","non-suicide"
"feel like nothing idiot chip tooth get bruise face try hang belt thing even think just go motion even think stuff like end kind acknowledgement first thing remember get tingly black random image flash start focus happen realize lie floor just try kill know poor something unconsciously smack face something calm enough get bathroom see happen see bruise chin knot forehead fish around mouth hurt find chunk tooth make feel like shit friend help promise get bad talk even ask help get point give sort final word anything feel like","suicide"
"top animes want anime hate please list sword art soul eater angel beat one punch man hunter hunter","non-suicide"
"think two people just hook right front window friend know across street party high school friend still want homecoming even virus like people anything like anyway someone park front house think anyone inside long story short another teen walk car forget something surprise two teen age business backseat yes","non-suicide"
"secret world exist cut hurt inevitably kill tell happy must give everything away nothing sadness pain anger happiness hurt feel anything happy hurt someone else hurt happy pain happy suffer happy starve happy hopeless secret happy torture long human","suicide"
"nothing like start day grandpa try hit mom fuck fuck know sick know see thing know good thing also know use beat kid even become sick know thing grandma keep try control die literally memory hit belt make noise remember mom grandma stand beat suppose forgive buy good thing bad thing one change fuck scare still put shit one heart leave anywhere else none uncle gut take care breakfast just enter room call mom bitch whore tell sneak man house try kill steal try hit choke say alright sick far know ever since little always way yet suppose ignore worry grandpa try harm sharp object gun kill reason mother almost kill age honestly think multiple time just fuck tire everyone think lie even show one uncle video just laugh tire fake alright just keep reputation good man suppose lie just drive school shit matter body nobody sleep anyone case affect fuck do anything pervert remember enter room little exactly moment come bath yet nerve call year old naked dude putting clothe one open door bathroom nobody house allow lock anything one try take bath mom fuck one make story around naked man hell afraid watch sleep afraid enter room night something tire shit","non-suicide"
"mate place bet fail yes read title right theres line people bet compete include never participate wish luck also ask gay social experiment","non-suicide"
"know just never understand mind hate people still want someone talk hate parent still live always want good never sustain long term relationship want good job now one still happy move away friend everyone love really find reason live","suicide"
"understand understand man just think sex like sometimes horny obsess animal can live minute without masturbate","non-suicide"
"give car give right now","non-suicide"
"parent see walk man bun want cry car honk want fuck die","non-suicide"
"feel like way much trauma feel like can carry anymore put many position create trauma repeatedly choose abusive people people genuinely care amp position hate choice make amp hate fuck doormat amp allow people amp manipulative think past point get good amp beyond repair try get good past always sneak feel like good sometimes make many mistake amp truly feel like good just end can finally free","suicide"
"bore filler filler filler filler filler filler filler filler filler filler filler filler filler filler filler filler filler filler filler filler filler filler filler filler","non-suicide"
"guy remember cry just friendly reminder guy girl cry emotional many people think just manly cry really true bawl eye emotional human love read wonderful day","non-suicide"
"anyone first post sorry get anything wrong always come hope maybe can help maybe can say something someone give tiny glimmer hope never say anything want help much watch now turn shout void call anyone listen ask beg anyone save can cope just can realise probably much point say anything since selfish probably talk everyone know seem think manipulative bitch call toxic know guess just last chance get help end","suicide"
"remember cool kid jump bar monkey bar want bad much coward year old birthday decide finally old enough go ledge jump freeze second step know gonna eventually know eat away one day enough just go finger slip wipe bruise tailbone exactly fear happen get right back though try nail time almost year ago now someone ask last time proud day year old swear god much loser past year want just sleep forever just tire honestly feel urge back kid just jump just end right now even matter matter sure want anyone else feel","suicide"
"wish dead honestly wish dead never go able accomplish anything life power motivation life always go pointless never go good enough able support just burden everyone bone brittle never leave house leave house time year leave lose last job know mom get tire support feel awful mentally stable enough look job let alone actually work think job dollar general friend manager fall now completely give","suicide"
"many people like one end life rather work entire life reward little life cruel get work survive can hold suffer anymore long work win find happiness therefore end conversation mom give birth even tho life bad cruel whore husband give answer dollar save maybe just buy gun let see work","suicide"
"find hope future just give everything really struggle mentally","suicide"
"just almost throw like three time almost pass twice know happen get shower pain waist area almost die","non-suicide"
"person crush crush someone else person crush crush another person","non-suicide"
"join","non-suicide"
"reason borderline personality disorder currently feel symptom chronic feeling emptiness 3 day row start ready give last resort see anyone can make see mean life live nowhere else","suicide"
"see card collection raise attachment","non-suicide"
"people believe star sign literally dumb thing ever yes accurate stuff see make relate almost everyone can wrong just take 2 actually think realize dumb","non-suicide"
"anybody something can wholesome moment even know post tire bore something","non-suicide"
"reason keep go year without thought every damn day think lot say note just selfish enough leave family pain idea can still useful other keep go can guide other successful career boost spirit help dead go away right reason live think give other reason live keep tally year kid introduce stem real world teach program give demo generally attempt inspire study technical subject young woman college student social change dev project minority college freshman introduce career option demo college intern directly lady give job recommendation family member help suicidal thought teach meditation friend family member guide emergency service attempt anonymous donation give christmas random family dead stuff happen just keep tell look opportunity","suicide"
"birthday make post couple week ago plan die today since multiple appointment mental health specialist doctor mental health crisis team last hour tell can assure plan allow kind intervention therapy something day birthday thing know go know want want take one kitchen knife slash throat start stab exit world want pain want agony want end","suicide"
"fellow teen important anyone apple product need please ask look like human ask hey look like human please","non-suicide"
"mom say proud like never say insane","non-suicide"
"discord mod keep ask","non-suicide"
"please send feel guilty strange show kindness can repay back anyway just day feel empty give liberty whatever want next couple day nothing want know give try finish read list read sentence sometimes page close book even buy silver think good may good regret buy now know type just bore guess good restless bore probably think thing maybe rope buy able hold weight maybe someone find die maybe even get window opportunity term plan much think one constraint first want grandma know kill recent event make realize care anymore parent probably hide anyway feel weird like just fake think suicide countless time always sad angry now just content like sad enough angry enough even think suicide anyway want anything know think post want help just want leave like note sort obviously still explain want people know think spur moment thing","suicide"
"don anything make life worth fight sit korean restaurant saturday night eat dinner plan fall today plan plan sit try figure rest day can really come anything worthwhile start think end life think make sense hate stick old loop fight tooth nail change always end result nothing end seem like easy way even though friend family crush feel like finally relief hell go get pay due world throw bone anything ever way","suicide"
"selfish one call mom make marry chester give virginity give herpes quick minute ceremony lawyer office honeymoon take place special say take year late move grandma save money get house point proud owner ford month work local ford needless say move apartment full furniture car buy month move amas go see cousin baby ama get mad go drink drive home train track two daughter live basement motorcycle boat bronco year get hell 2 apartment get job clean house buy something mustang move trailer buy new mustang move time get job drive school bus go college move mother attend nurse school full time big mistake quit go respiratory school move east coast buy big boat since bay river try several time buy house turn turn one point nurse school want volunteer squad allow around man night work hospital full man thing can do confuse patient room guess get fire find job work nigh guess daughter turn holy terror listen come go want kid take care night put shit trash bring home listen either beg husband quit job need kill get away shit hate come home work stay daughter house file bankruptcy heart attack work finally leave state get away summer close buy house see expedition want wrong equinox month expedition let know able house think care wine like damn kid take say fuck get live mother law dying quick enough marry selfish sob ever meet come place literally hate want die get away perfect night get marry year find learn lot know go life wish talk show tit people get play kiss year ago hub dick stop work due seem actually love wife make change get heart use mean get wife think care get catch good diagnose morning bitch call everything afternoon guess give death sentence forget delete text want clock tune hour mutter museum die house think either no stay bed suicide search just want die leave miserable life mine love brother love daughter emily tiffany love peyton lucy love future son law justin manny reason hang suicide still cross mind hundred time day read thank mariann","suicide"
"see dance duck away like dance","non-suicide"
"tell joke corona go day glad know sign language can come pretty handy","non-suicide"
"term take new turn literally","non-suicide"
"sexual appropriateness okay year old sex even weird year old much just really know one girl please somewhat serious tell honestly think","non-suicide"
"please help thank","suicide"
"take please help teacher bad","non-suicide"
"math today equation variable side think good decide check answer wrong feel stupid","non-suicide"
"call suicide use crisis chat look solution comfort chat able provide comfort useless use logic justify suicide every time reach desperate attempt find someone else stumble similar path towards make real positive change world one person stand chance nearly everything stack make even local change know possibly say find kind person anymore exhaust can see can now serve example let dream dream build plane fly die try fuck everything drip greed spend life try sort alternative benefit everyone make sense just people look like fuck nut apparently want take advantage people alien concept world can find word disgust bring believe beyond help mostly just putting can say try expect change scary stuff can talk sort thing terrify speak actually understand fall conclusion currently go try think now much use though see mind every day year tire","suicide"
"leave fuck do anything stop bait suicide fuck murderer","suicide"
"just know just feel nothing talk friend like just stand like just know handle like back never people person mention trust issue life just mess moment","non-suicide"
"man can talk feeling toxic group friend use game together fallout keep name bully private actually say man talk feeling friend like bitch talk parent good already end like cake","non-suicide"
"can keep think every little thing one care single person go die","suicide"
"parent perfect idea sell quarantine urgent economical reason sell month ago boredom hit heavy day tip","non-suicide"
"just need alt want main account get fuck suspend try get help mental health homicidal ideation fuck right never diagnose shit social anxiety fuck stupid can even therapy think may depression anxiety schizophrenia maybe bite fuck stupid know shit every day minute voice tell kill kill other fuck want either can deal option social anxiety just minute talk friend friend now basically mini therapist past literally person besides people know shit thought shit past week just ignore talk stuff say want hang say miss like say way help guess fuck confirm hypothesis fuck piece shit garbage","suicide"
"honestly do shit account molest mom alcoholic pathological liar straight certify piece shit dad suffer drug addiction schizophrenia around much kill self month ago basically spend entire childhood alone brother sister popular friend friend always mean just hide room brother grow live good dad mom different dad understand mom put sister steal money fuck credit call cop just typical alcoholic even sister barely understand go reason mom just decide pick molest physically abuse tell people people life sister kayla meet kayla mental hospital last november friday tuesday become really close talk everything walk hallway back forth day just talk whatever think moment write numb piece paper give really nervous seem excite keep contact get first day get break emotionally abuse keep different social medium block numb next week hang probably time even though busy work time seem show interest say smell good say pretty eye time always moment just stare eye say anything awkward show house one night go south go hang time day barely see talk past month hang twice even cancel couple time first sure control just look thing today talk phone bite say busy work school see someone ask want hang tonight smoke hang smoke two time hang december wee since busy work ask tomorrow cook dinner place friend now think see someone now see depress shy piece shit talk anything childhood problem really enjoy company anymore just want wee time ever feel sort happiness now feel like go bad fuck","suicide"
"people always talk capitalism never lowercase ism","non-suicide"
"attractive people make want kill anyone else feel like especially one brag relationship statue adventure just annoyingly depress especially know try find partner get nothing rejection coz today society ugly mean right feeling","suicide"
"almost chance pass geology course mean take extra semester clue pay want matter hard try failure death family start semester throw life disarray mean miss lot assignment help family plan funeral good balance school work though now job go want die nothing failure never teacher never get grad school get dream history professor year old already fuck life time leave","suicide"
"anyone will","suicide"
"next wave come always helpless wave","suicide"
"just want scream hate depressive episode wish just scream throw thing can silently lose sanity","suicide"
"mental health relate school guy think school help reduce mental problem think worsen mental problem affect mental problem like guy honest sorry english bad","non-suicide"
"let tell something cuddle sex can tell otherwise","non-suicide"
"unmotivated go asian student school work part time job leave time family say family different without recently mother say rather give birth pig instead useful feel hurt know try good contribute try talk tell work mind can barely manage school fee pay verge expulsion due late payment father old work mother housewife reason slit wrist know can without seem hate something help fall depression slowly take toll study final edit guy rock think come much make feel slightly good bite gonna move find lodge gonna tough wallet gonna try month","suicide"
"dumb girl pay literally exist like imagine pay something happen constantly something can control thank society cool","non-suicide"
"can good thing good friend depress go doctor talk see smile genuine cry like literally wonder realize want kind smile can even drink hundred thousand people around always pull impossible tire","suicide"
"say comment comment reply get free girl reply still crystal clean alarm set noon tomorrow pull post get","non-suicide"
"thing keep kill incomplete last wish even know want complete anymore good grand scheme thing mind comprehend either outcome thing know hold back now something do leave completely utterly purposeless","suicide"
"christmas fuck hard almost anything even hard feel good anything someone know control dick really make feel good people say good life happy even matter want much something push away really want know come watch fuck much regret alone just make want leave bite info never driver license job parent think good idea right now ask disability thing like two year still work never friend date leave school get ged college live long enough just go around people never help make friend go girl scout seven year want learn talk people like bite psychotic thank much","suicide"
"do try just huge drain come break point even try anymore past month push past point return start last year let good pay job unemployed month drain saving unemployment pay little nothing apply many job hopeful get rejection rejection finally get job month late pay just enough get month month struggle make work job contract recently end prematurely back unemployment little saving get enough pay bill per month constantly ask dad bail go debt get evict every month month debt just pile don enough pay rend even buy food get rejection rejection job make realize good think past year life work build resume just waste time seem interview today job get reject one just go end can keep ask dad money can even proper adult live independently final option either offer job end save financial drain cause everyone sure sad angry ask help constantly ask financial help big drain sorry everyone go hurt sorry friend family can anymore zero live past goodbye everyone","suicide"
"everyone say look animate happy people tell think medicine work seem happy feel much bad can think kill every time talk psychologist psychiatrist feel time bad stop go just quit another thing scare mom think confront mom suicide try get upset possible think ever make sad hope maybe get consider kill","suicide"
"man valentine great already post beautiful see people love make happy cheer saint valentine","non-suicide"
"lose reason live day don even know start don want live anymore thing stop commit suicide pain chance end cripple don even care family anymore way every time interact put way don even understand father disappoint constantly work mother constantly ass work leave good friend month back spread lie say beat now can trust anyone don feel like can love anyone matter fact feel lust other see terrible person think thing one think terrible thing say rude thing one say yet pity truly don deserve live","suicide"
"just piss leg foot toilet pee pee go right instead straight hit leg sock now wet","non-suicide"
"need talk long time need help silly get bend woman long time think feel anything survive beat depression fall love good bad day always good now think go sit alone hate keep company","suicide"
"just much pain look everywhere answer can find one","suicide"
"year ago post now back post year ago almost freak think also call suicide hot line good year try ass good life get bad now almost april since job think problem no maybe maybe think go one gob one different company shit happen switch different job entirely gas station manager manager beauty store shit pay work help get trouble thing literally nothing super long story go get time leave put mental health shirt retail job way now lose know early try post financial help sub get bombard many horrible thing now super right back holy shit just kill self mode tell every thing possibly improve life career try everything thing right now just want hear good can happen life just need hope guess drink just drink pass wake like zombie year year early now ulcer can drink can afford drug want get hope maybe can just read something make smile give little hope maybe just maybe something good happen give reason live","suicide"
"break break bird wing fly anymore look look break bird can find anymore break bird free trap shore break bird speak beak work anymore look lazy bird bird chirp lazy bird sit grind even work bird laugh bird play little know see break bird today like break bird ask please say break bird may friend today","suicide"
"try let gender make suicidal really struggle help everything feel safe enough combat since parent accept spend lot time talk people refer prefer gender name still really hard just eat inside certain part hard ignore puberty make everything much bad current therapist really help much know qualify deal gender insurance win cover gender therapist help parent pay don money yet another two week still really scare go get bad go seriously hurt help please","suicide"
"potentially dumb question bad crush someone still","non-suicide"
"something gay man facial hair just bring inner projector just get confuse disgust remember","non-suicide"
"convenient tool suicide gun convenient cliff drive car without hurt anyone else sharp enough hunt knife get tire trigger thing repeat tire patient kind understand ask nicely get return anger finally start escalate return now escalation hit immediately shout curse say nasty thing emulate control behavior abuser make life hell feel read title narc mom narc sub say wish abort think nasty something may say partner peak anger vindictiveness now just want end get bad therapist make much progress hate become trigger condescend reaction good effort","suicide"
"whats good family know suspect long story short shit live happy make everyone else unhappy one check feel sorry really do also see jump front car save family life good without sure tell today scare even though never touch anyway point sorry good kid wife know suicide good just smash car wall lean towards car make insurer likely may guess know sure think beneficial kid get wife even say accident need know reason overdose seem good comfort wall last long thought","suicide"
"can believe depression begin end attempt get good see psychiatrist time per month stretch six month meet psychologist life coach doctor help try various cocktail none help depression way lean friend family support improve diet learn meditation must admit never able stick meditation week time short spend last month try get rid depression tonight feel bad ever feel attempt take life last year kidney live strong give credit try help golden gate bridge tell effective know continue fight still chance depression away end happy odd happen lie somewhere also know end life chance pain end around regret suppose suicide nobody kill ever regret practically convince end life good two option course emotional toll take friend family counter emotional financial toll already take continue take future although pretty convince decision obviously commit since ask help advice appreciate","suicide"
"go murder promise right eye revolution psychosis keep way inside hold ash fail suppress every feel much pain every fuck right hate can take hard part know never now sit around wish forget lesson negligence default link outside psychosomatic suicide can show way face everyday face blur eye make whole world breathe see fuck absolutely control every urge mutilate one answer much memory want dress insecurity perfect stretch loathe ultimate irony","suicide"
"little hour write essay week wish luck procrastination silly cite good fuck dumb","non-suicide"
"can say hope can express feel feel asleep masturbate last night don another chance school today like hour also haven fall asleep long time","non-suicide"
"nothing hurt people sorry advance novel family friend hurt selfish bitch honestly feel service world expunge allow destructive continue live selfish today break point two people respect look entire world hurt disappoint upset take anymore research advisor marry love dearly daughter love parent always want parent alone whole life save addict father sell body friend drug money now prison recently take advantage old high school friend struggle emotionally since night two day ago tell one really anxious bite vulnerable yesterday completely snap perceive real reason leave lab tear return today work however arrive advisor take aside tell emotional cause stress husband idolize two day ago make friend cry hell wrong can take anymore can take fact self absorb hurt everyone every one care can stand truly convince point get fear death right thing","suicide"
"sure need french dude depress since like cause many thing explain leave month ago together year since lot drug like use never day sober drink everyday night even alone happy put depression away now everything like like hospital time cause suicide attempt one time psychiatric clinical lot scare thigh arm tonight cut arm lot cause can find reason live take mental pain away everything meaningless everyday torture want end part want happy find peace without suicide everyday wake first thing cross mind blow head open think talk sure talk friend post lot just now feel end life really soon sorry english french drink like drug","suicide"
"hate look hate look mirror see just feel like piece crap horrible person make bad mistake life forgive good mother really good mother want lose kid feel day can even happy day always just look next thing thankful get just feel need run away teach everyone try tell can anymore want somewhere get away everything need help","suicide"
"can force care make sense memory last month little break can really piece together good little month ago break long term search fulfill life get together want smoke wee anymore stop pothead sort make little sad decide worth naturally break start smoke else senior smoke every single day month try sort new drug along way cigarette alcohol opiate cocaine sort fun stuff think give new perspective life leave shell person use graduate high school month break drug use really take choose attend college mile away hometown effort start anew different person now alone live huge city money verge fail important class nothing leave want anymore want anyone just want nothing wonder else hurt cry help lonely night account never work contribute person today try blame people create monster person blame frankenstein try kill think good seek therapist maybe medication therapy jack shit thing thank medication now nonexistent sex drive life fuck bland christ fuck kill","suicide"
"free barely award first comment get gift hour spend yes hope win get delete award","non-suicide"
"just realize dad go die year","non-suicide"
"finally try end feel like just point anymore never ask exist everything just keep pile tire give day ago try hang end panic just cry bed instead everyday hurt go lose one person stay alive scare give whole thing get good say every time think thing look get hit everything wrong really tire depression just keep get bad do","suicide"
"sit pill alcohol need help need help know kind help need year old live home quit job another job line use many goal aspiration last year try kill goal go away now know life drive keep go know","suicide"
"turd already starve hope succeed already almost starve year ago hospitalize blood sugar low enough deadly never complete high school skip day elementary middle school never one friend virgin depress no learn disability probably schizoid personality disorder horrible parent want die decade now tell bother try life completely unfair never stand chance live happy existence reason false hope offer convince slowly starve awful life end","suicide"
"just hint pathetic post title say something mean minute ago now start cry comment even mean need die","non-suicide"
"want tip get woman fuck already know never ever life million year even girl ever like seem like one believe like crazy mean guess just fact straight fact love mean love companionship mean appreciate stop give advice get woman guess try literally everything good life hypothetical future partner absolutely fuck give life whatever great exist just suffer ashamed tire hurt much agonize pain start think write sense wit tear finally well can live life can stand much pain torture sorry much even think ever enough reason shoot right now gonna fuck","suicide"
"write suicide note year old feel hopeless health affect life problem year just part skull remove week ago skull tumor now also intestinal pain year able work income feel like nothing ready back nothing lose everything last year even though try keep feel like government want people like die drain state leave bunch mental disorder make dark dark every day autism spectrum disorder major depressive disorder generalize anxiety disorder social anxiety body disorder amp add write suicide note saturday go hang even though prefer plan just seem easy make today help family partner appointment neurologist hope back mental hospital want life constant physical emotional pain","suicide"
"guy brink give can shit sick tire give someone affection just ignore point mentally ready hook someone just affection cuddle people just care","non-suicide"
"may make sub question teen ask sound cool find question ask don ask good idea","non-suicide"
"parent care still alive guess parent become major issue cupboard food lock allow eat thing fridge ask make drink busy heist see say right now tad busy wait minute able response fine tell think role model lazy fuck apart work come home play music loudly leave thing clean house wash start abandon due depression just scream anyway refuse make drink question demand can say just lose walk say fuck get feed simple response fine child service tell walk handle response know can handle none family can fuck think leave antic back france complain fuck much dad tell grow fault","suicide"
"just random rant life death want die just can help feel like indifferent just apathetic basically everything something make laugh feel happy get bad feel nothing bad want kill idea dying bad like something can control probably gut lose train think idea basically something like dying sleep less peaceful death may seem bad know people love feel much try like people time reject can bring love anyone simply meet yet even know gonna happen worry goodbye note shit like just teen rant little bite sad keep hope phase live think lie truly hope pass","non-suicide"
"find cure aid slap hand dick wallah aid","non-suicide"
"hate live poor violent country","suicide"
"somewhere universe alien kid look star imagine kind intelligent life meanwhile earth","non-suicide"
"can post rant keep remove even though abide rule link teenager comment letter teenager comment letter","non-suicide"
"stupid crazy just try get reality show","suicide"
"one guy school dislike reason just just piss","non-suicide"
"watch romance anime reason people watch rich people like watch thing can never","non-suicide"
"sick rap thread every time anything relate modern rap hip hop post always flock come say good always condemn drug addict artist decease artist kill drug even though lord savior addict sick good everyone mentality platform","non-suicide"
"sunday last day name barry tire note ready end life think put effort nice people put mark world just can big heart let fool mind sick never fix depress year fall apart something can repair sorry friend just hang recently sorry able stay strong tell try strong can isolate long deal rejection other think thank one friend make feel worthy less day mean post suicide note sunday even thing take care end life wood way hard find open talk anyone full last day terrible world","suicide"
"call fish eye","non-suicide"
"just want feel like bear wrong body wish male anxiety depression brush hair week can even drug cheer coz seizure even just wee can find effort clean anything just sit eat biscuit sandwich fee guinea pig animal get care anymore cut leg time badly clean coz keep hope catch something die feel constantly sick exhaust just see point life anymore live homeless accommodation unable work benefit hate female anything immediately close yet","suicide"
"mom just tell whats wrong just tire internally big part problem","non-suicide"
"look friend tire lonely will chat literally anything everything except politic philosophy","non-suicide"
"ever look someone like gotta look fine","non-suicide"
"one one want anymore whole support system abandon friend avoid worthless one want friend girl","suicide"
"anybody see new personally like font thing good like sharp corner also change many friend big annoy look like get notification","non-suicide"
"gay people right","non-suicide"
"empty also suicidal think former concern now question prefer actual psychologist hospital employee doctor answer help support appreciate see post history info happen check hospital homicidal really insane person just severely depress enrage completely intolerable situation make feel way towards person live really anywhere else much money ask shrink see day now forget say feel like may anyway make likely obviously want lock forever truth unless circumstance change probably go stop feel way soon release just dangerous now also insurance bill still insane different reason moment totally wall feel way good amount day every day see go get good knowledgeable person educate happen also someone know ton mutual friend work one hospital town one far away want transfer think shrink affiliate though sure can find answer anywhere like support anyway thank","suicide"
"interest even know say five deep want keep go wake never want wake","suicide"
"parent happy fuck say life hell never understand happy long suffer die","suicide"
"may kill see fuck scare don know feel ugly hell accord friend attractive good pretty cookie fuck basket don know look like haven exchange picture yet start date personality ugly thing sound look good lot girl want crush can really say tell sweet love much just scare win interest start see other face want believe look don matter tell leave right matter matter much believe don even hear look effect every aspect life big explain thing start believe time go treat look anxious scare talk see ready don even look alright can bare minimum just start work hair yes look like shit lot time also nerve wrack never serious relationship like together short amount time will spend dollar already send gift christmas don know hell expect look like lord know don look like victorious secret model ugh just afraid go let see first time barley even know makeup style hair cute style set fuck far back life compare pear hurt hope don get ban say think think back now know say thing even want think afraid start think deep one guilty thought want erase mind sound real mess serious thought everyday feel like become shallow shell focus look nothing else consume time waste much time day panic attack look mirror get motivate change freak look terrible now feel less meet certain standard feel hopeless first happy content fear begin set soon realize look","suicide"
"even know post find sub yesterday start read start cry stop turn week ago never think live see day try kill first time never try seek help get therapy diagnose schizophrenia become good round balance individual can control schizophrenia good need drug bad day spring break last week spend curl fetal position bed move sleep eat speak realize matter happy seem outside just hollow empty shell nothing anymore care life care anything remember like want die start list reason hate always find annoy obnoxious insufferable friend will friend never understand loud boyish dumb drive people away complain everything awkward suck live incredibly irresponsible can even keep school work straight can keep life organise afraid move parent house even know can function member society can barely keep minimum wage job can even keep track lose weight health make find completely awful unattractive can even look hate even gut see guy friend now downward spiral hit make feel thing never feel anyway fall love real way gut even tell romantically attract let alone deep feeling get even point love someone pathetic find someone look like even remotely attractive either way fairly certain drive away financial problem student loan parent relationship matter always cause fight fairly certain everyone life improve without just know anymore point push feeling year nothing ever get good even therapist anti depressant even attempt maybe die long time ago maybe even bear say miss course know devastate many people take away thing stop close even matter anymore peace matter incredibly selfish know still force life even live anymore","suicide"
"father know kill father now know problem now care life ready ruin much just can kill crash happen quite calm kind happy something stupid now father just get inform everything live take care gonna extreme burden break everything stupid happy go help glad break ever know kill just burden get still pay bad skill can work ruin friendship search police pay bill let everything toilet now help get grave show get know ort think even able talk confront","suicide"
"disgust personality sober teetotal brit drink brit sensible fun pub pint preachy teetotal subhumans spit people face yell manager food healthy enough go healthy smoke disgust piece shit drink smoke eat food taste good preachy fuck degenerate people like cough people face tell actual human throw get other hold hair back like sensible british people deserve british clean eater time make gross impossible change personality get rid vile habit make obnoxious dangerous people can change personality enjoy throw drink public smoke eat junk food time tomorrow go end life need good sensible safe person disgust freak people drink smoke eat junk food degenerate main cause 2 wave country","suicide"
"cool male gender neutral name name original character else","non-suicide"
"merry chrysler enough make","non-suicide"
"anyone go cruise specifically mid late june year day long","non-suicide"
"guy heat cereal guy put milk first cereal","non-suicide"
"waste much time life feel like change","non-suicide"
"hey guy make coffee breakfast want","non-suicide"
"amas like dead engineer senior ama question hardcore fan various product monopoly connect give family plenty fun time divorce jerald bankrupt anyways wonder dart tag series whole tip dart really fun idea dart stay vest can easily confirm dart land target part childhood see bring icon series release fan strike blaster stampede still chance come back also really appreciate work do company monopoly twist interest highly allow family together jerald bankrupt collection every monopoly board piece ever will share photo answer image heavy","non-suicide"
"anthony work grocery store savin penny someday mama leone leave note door say sonny move monkey","non-suicide"
"lose much attempt even think restart life go take make sure get back just want single destroy juxtaposition replace local trad clothe store drop head people conspire can amp year like come","suicide"
"heartbreaking can someone make feel special happy just change feeling see something beautiful ugly can deal anymore want take easy way badly just wish care affect people care fuck","suicide"
"worksheet amp preview redd width amp format amp auto amp","non-suicide"
"flash archive porn review may see post little early background early today adobe flash shut late year want chance revisit flash game play kid turn want little top flash porn game game quotation really just animation can control speed one thing notice right away majority furry porn may good place look material guess porn actually like say everyone may want avoid bring next point lack preview thing see title site animation host tag thumbnail include mean pick something jerk purely guess also reward find something good say however furry shit low quality understandable consider flash content produce say end find something nut yes afraid admit overall give use source material practical everyday look spice thing little worth check","non-suicide"
"guy screw last night consequence happen today happen last night mood pleasure lotion near run bathroom see yes pump little bite onto hand go back bedroom finish watch go bed now wake morning penis fire hurt bad go bathroom take shower help little bite enough stop hellfire go check lotion use face wash lotion skin mean spin-dry skin course moron use jerk now pay consequence now ice help enough can type without issue use face wash lotion jerk now penis fire","non-suicide"
"like donald trump orange logo return","non-suicide"
"please help desperate post recently comment know need help comment know need help recently obsess ruminate stuff describe post mind feel suicidal time everyday think suicide time struggle get bed lot day overwhelm suicidal thought sometimes wake stay bed hour get bed everyday try work unable work long period time anxiety suicidal thought experience end catch work late night end go bed every morning sleep schedule awful find really hard interact other whether person always get really paranoid may unintentionally something may upset see therapist try homework task give every week see improvement also take medication notice improvement either also try group program month ago throughout group program work somewhat hopeful day program finish progress make instantly reverse worry come back unable exposure anymore know happen really see point anything anymore just leech burden other make life bad contribute anything positive society often find hard homework task therapist give constantly low mood zero motivation even though try good homework task really see point feel like matter hard try never get good worry low mood get way everything include effort put try improve situation week ago obsess stuff describe post link get particularly overwhelm day know try kill work obviously now really upset feel like may stay one earth miserable anxious many decade come suicide feel like last option since fail don know feel super anxious depress suicidal nothing can calm include thing write safety plan make therapist tempt call message friend feel way thing describe link post always feel like burden other talk stuff feel lonely time talk either either person constantly get anxious see discuss early post link either person really bad anxiety attack feel suicidal can deal properly feel super lonely scare talk people pretty sure nobody give fuck don blame truly fuck loser just don want anymore constant low mood loneliness anxiety experience everyday unbearable can take anymore","suicide"
"nice face much cost","non-suicide"
"skip school get away student include still school still pretty big numb case area thing still force every class go school include even tho barely room really bad today push up can push up save life decide class today now simply join meet get trouble need come excuse just come simple one like sick need dentist first time join meet professor figure need come plan wear brace dentist less month monthly check give little ticket date next appointment january give ticket say february live guess think write without teacher realise write dentist give photo dentist photo little falsify locket teacher proof really go dentist get away exactly write perfect need change wash tooth really feel character go dentist now dentist cabinet much go outside photograph also photograph ticket leave little bite outside photo mostly part say figure teacher see go dentist see ticket ask little part ticket miss already go far already satisfy know go go back home ironically way back home run another classmate also miss go dentist tell truth show little trick believe go far just miss teacher respond message photo also respond message classmate say go dentist mean believe less now boat conclusion really recommend socially anxious like people watch thing horrible like pushups feel like everyone look even though sure also lot trouble chaotic good chaotic good want proof can give link image","non-suicide"
